38,2,14,6,8
90,1,18,4,8
20,1,18,10,6
10,1,13,20,2
56,1,13,18,6
99,1,10,15,9
58,2,13,11,2
69,1,5,6,1
88,2,19,13,4
33,2,14,18,8
43,2,8,13,8
14,2,19,5,4
61,2,10,14,3
56,1,16,5,1
76,2,3,2,4
65,2,15,6,1
25,2,6,12,1
41,1,3,8,9
37,2,11,11,1
87,1,2,10,9
65,1,12,20,4
89,2,2,19,9
95,1,2,19,10
42,2,17,15,4
74,1,2,2,2
18,1,4,20,5
83,2,17,4,5
70,2,8,4,9
67,1,11,13,4
59,2,5,7,1
92,1,11,8,1
41,2,16,20,2
90,1,18,12,2
75,1,17,6,1
74,1,5,4,10
93,1,20,9,3
90,1,19,3,5
72,1,17,15,5
58,2,17,12,5
69,2,9,3,9
16,1,11,3,5
65,2,17,16,9
86,1,13,6,2
86,2,9,6,5
30,2,13,1,6
37,2,4,20,2
17,1,9,20,3
86,2,5,15,5
52,2,16,4,9
64,1,4,20,2
